Source,Target,Weight,Type
Bykov_Iyun,Bykov_Sto_Nochey,2,undirected
Bykov_Iyun,Erofeev_Apokalipsis,3,undirected
Bykov_Iyun,Sorokin_Manaraga,1,undirected
Bykov_Sto_Nochey,Bykov_Iyun,2,undirected
Bykov_Sto_Nochey,Erofeev_Akimudy,1,undirected
Bykov_Sto_Nochey,Erofeev_Apokalipsis,2,undirected
Bykov_Sto_Nochey,Sorokin_Istoria,3,undirected
Erofeev_Akimudy,Bykov_Sto_Nochey,1,undirected
Erofeev_Akimudy,Erofeev_Apokalipsis,6,undirected
Erofeev_Akimudy,Sorokin_Manaraga,2,undirected
Erofeev_Akimudy,Sorokin_Salo,1,undirected
Erofeev_Apokalipsis,Bykov_Iyun,3,undirected
Erofeev_Apokalipsis,Bykov_Sto_Nochey,2,undirected
Erofeev_Apokalipsis,Erofeev_Akimudy,6,undirected
Erofeev_Apokalipsis,Sorokin_Istoria,3,undirected
Erofeev_Apokalipsis,Sorokin_Manaraga,1,undirected
Sorokin_Istoria,Bykov_Sto_Nochey,3,undirected
Sorokin_Istoria,Erofeev_Apokalipsis,3,undirected
Sorokin_Istoria,Sorokin_Manaraga,5,undirected
Sorokin_Istoria,Sorokin_Oprichnik,1,undirected
Sorokin_Istoria,Sorokin_Salo,3,undirected
Sorokin_Manaraga,Bykov_Iyun,1,undirected
Sorokin_Manaraga,Erofeev_Akimudy,2,undirected
Sorokin_Manaraga,Erofeev_Apokalipsis,1,undirected
Sorokin_Manaraga,Sorokin_Istoria,5,undirected
Sorokin_Manaraga,Sorokin_Oprichnik,3,undirected
Sorokin_Manaraga,Sorokin_Salo,6,undirected
Sorokin_Oprichnik,Sorokin_Istoria,1,undirected
Sorokin_Oprichnik,Sorokin_Manaraga,3,undirected
Sorokin_Oprichnik,Sorokin_Salo,5,undirected
Sorokin_Salo,Erofeev_Akimudy,1,undirected
Sorokin_Salo,Sorokin_Istoria,3,undirected
Sorokin_Salo,Sorokin_Manaraga,6,undirected
Sorokin_Salo,Sorokin_Oprichnik,5,undirected
