"Bykov_Iyun" "Bykov_Sto_Nochey" "Erofeev_Akimudy" "Erofeev_Apokalipsis" "Sorokin_Istoria" "Sorokin_Manaraga" "Sorokin_Oprichnik" "Sorokin_Salo"
"и" 3.86177251297492 3.5301455583352 2.57494330971584 2.38057551679382 3.79676546123412 3.67526909609649 2.79747479280735 3.35379809893099
"в" 2.27011608097936 2.86777716761242 3.14143083785333 3.47431067776758 3.56423960574721 2.82194267928933 2.64189330700416 2.63753130301317
"не" 2.93867120954003 1.77151341346838 1.91791745230125 2.10832884864985 1.33615603526064 1.57956166515368 1.54384705143165 1.54562834908582
"на" 1.11822035577037 0.930841146839682 1.73850204749524 1.66355376871696 1.61379884778233 2.01011541953054 1.76525147353619 1.84990710073512
"что" 1.98288498870885 1.93219029023532 1.21354586306285 1.20611605305644 0.798223085999861 0.752172221501751 0.703108637764414 0.72973045749522
"с" 1.10831583534725 0.865756842326493 1.2775041323687 1.2583494254329 1.48538904699105 1.18013227856309 1.30149896777668 1.38675714247247
"я" 0.755714908284141 0.977620490708538 1.59812610577203 0.876887524138149 0.85722218366072 1.28906756581507 0.640277653113126 0.963998168942026
"он" 1.74517649855394 1.12609406037925 0.891262635911322 0.667954034632309 0.399111542999931 0.7910776812346 0.287227358405888 0.541239195411584
"это" 0.948853056535003 1.76541175992027 0.619647648080006 0.642628763177055 0.628166863330326 0.702891972506808 0.347066391407115 0.608557503298597
"а" 1.00233746681986 0.823045267489712 0.681114036763545 0.645794422108962 0.770458804747692 0.715860459084425 1.34937019417766 0.735115922126181
"как" 0.848817400261479 0.964739222106969 0.681944663637647 0.873721865206243 0.655931144582495 0.61729996109454 0.744995960865272 0.631445727980182
"но" 1.20339923140922 0.73287638727873 0.799063052886013 0.830985469625503 0.437287429721663 0.536895344313319 0.35903419800736 0.360826130274389
"по" 0.422923022067272 0.449488478044217 0.677791529267138 0.618886321187755 0.669813285208579 0.586175593308261 0.903569398318523 0.56951288472413
"то" 0.87258824927697 0.779655731147585 0.422789078917859 0.473266010320048 0.409523148469494 0.243807547659188 0.439816892559016 0.286775991598675
